Provinsi,Pulau,Stunting_2023,PoU_2023,Pengeluaran_Makanan_2023,Pengeluaran_BukanMakanan_2023,Pengeluaran_Total_2023,Pangsa_Pangan_2023,Kemiskinan_Kota_2023,Kemiskinan_Desa_2023,Kemiskinan_Total_2023,Sanitasi_Layak_2023,AirMinum_Kota_2023,AirMinum_Desa_2023,AirMinum_Total_2023,IPM_2023,IKPS_2023
ACEH,Sumatera,29.4,9.44,702547.0,523429.0,1225976.0,57.31,9.79,16.92,14.45,78.85,95.05,86.79,89.74,74.7,71.0
SUMATERA UTARA,Sumatera,18.9,8.6,707588.0,597752.0,1305339.0,54.21,8.23,8.03,8.15,84.18,96.2,86.93,92.19,75.13,64.7
SUMATERA BARAT,Sumatera,23.6,7.63,747469.0,664354.0,1411823.0,52.94,4.67,7.23,5.95,70.97,93.75,77.41,85.59,75.64,68.4
RIAU,Sumatera,13.6,12.33,776145.0,751405.0,1527549.0,50.81,6.73,6.65,6.68,84.58,95.69,86.97,90.47,74.95,65.2
JAMBI,Sumatera,13.5,12.83,720949.0,703176.0,1424125.0,50.62,10.19,6.28,7.58,83.04,91.57,74.11,80.02,73.73,66.6
SUMATERA SELATAN,Sumatera,20.3,6.53,647779.0,562206.0,1209986.0,53.54,11.07,12.21,11.78,80.54,93.67,83.37,87.19,73.18,69.7
BENGKULU,Sumatera,20.2,9.25,679166.0,653392.0,1332558.0,50.97,14.21,13.96,14.04,80.28,79.33,69.84,73.08,74.3,70.3
LAMPUNG,Sumatera,14.9,8.81,627879.0,575138.0,1203017.0,52.19,8.02,12.65,11.11,84.58,91.81,78.29,82.78,72.48,73.4
KEP. BANGKA BELITUNG,Sumatera,20.6,13.35,879797.0,847753.0,1727550.0,50.93,3.54,5.85,4.52,93.21,86.07,75.07,81.64,74.09,68.6
KEP. RIAU,Sumatera,16.8,9.83,863530.0,1126172.0,1989703.0,43.4,5.05,10.69,5.69,91.1,94.78,71.03,92.1,79.08,69.0
DKI JAKARTA,Jawa,17.6,2.57,1055896.0,1735820.0,2791716.0,37.82,4.44,,4.44,93.5,99.42,,99.42,83.55,73.9
JAWA BARAT,Jawa,21.7,5.5,761832.0,805834.0,1567666.0,48.6,7.19,9.3,7.62,74.88,96.18,85.62,93.86,74.24,73.8
JAWA TENGAH,Jawa,20.7,10.44,601528.0,608378.0,1209906.0,49.72,9.78,11.87,10.77,85.2,96.43,90.76,93.76,73.39,78.0
DI YOGYAKARTA,Jawa,18.0,10.08,722132.0,1009428.0,1731560.0,41.7,10.27,13.36,11.04,96.42,97.1,95.44,96.69,81.09,84.8
JAWA TIMUR,Jawa,17.7,8.09,657408.0,666078.0,1323486.0,49.67,7.5,13.98,10.35,83.72,97.53,94.1,96.01,74.65,78.5
BANTEN,Jawa,24.0,2.87,847452.0,896235.0,1743687.0,48.6,6.0,6.79,6.17,86.41,96.22,81.33,92.95,75.77,70.8
BALI,Bali-Nusa Tenggara,7.2,3.77,729755.0,1011768.0,1741523.0,41.9,3.77,5.5,4.25,95.7,99.12,96.5,98.31,78.01,74.9
NUSA TENGGARA BARAT,Bali-Nusa Tenggara,24.5,2.17,711180.0,549640.0,1260820.0,56.41,13.76,13.95,13.85,85.11,96.5,95.52,96.03,72.37,79.2
NUSA TENGGARA TIMUR,Bali-Nusa Tenggara,37.9,14.98,516672.0,444700.0,961372.0,53.74,9.12,23.76,19.96,75.67,96.06,85.34,88.35,68.4,70.2
KALIMANTAN BARAT,Kalimantan,24.6,15.03,695043.0,650509.0,1345552.0,51.65,4.44,8.07,6.71,79.89,89.21,77.76,82.08,70.47,65.2
KALIMANTAN TENGAH,Kalimantan,23.5,9.37,787550.0,738235.0,1525785.0,51.62,4.78,5.35,5.11,76.31,88.92,69.05,77.72,73.73,63.6
KALIMANTAN SELATAN,Kalimantan,24.7,4.48,747955.0,709390.0,1457344.0,51.32,3.84,4.72,4.29,82.89,86.18,66.5,76.29,74.66,73.4
KALIMANTAN TIMUR,Kalimantan,22.9,9.2,885069.0,1095206.0,1980275.0,44.69,4.68,9.28,6.11,91.21,95.49,70.85,87.9,78.2,71.2
KALIMANTAN UTARA,Kalimantan,17.4,15.92,801219.0,892358.0,1693577.0,47.31,5.18,8.74,6.45,84.22,96.97,77.99,90.19,72.88,69.3
SULAWESI UTARA,Sulawesi,21.3,6.26,670957.0,644219.0,1315176.0,51.02,4.91,10.38,7.38,85.91,95.46,92.99,94.37,75.04,70.6
SULAWESI TENGAH,Sulawesi,27.2,10.09,602468.0,571212.0,1173679.0,51.33,8.9,14.09,12.41,75.8,93.67,83.48,86.85,71.66,70.4
SULAWESI SELATAN,Sulawesi,27.4,7.84,597180.0,655371.0,1252551.0,47.68,5.01,11.91,8.7,93.69,96.55,88.31,92.12,74.6,74.1
SULAWESI TENGGARA,Sulawesi,30.0,10.49,561452.0,611288.0,1172739.0,47.88,7.4,13.94,11.43,88.99,96.28,93.88,94.8,72.94,71.2
GORONTALO,Sulawesi,26.9,15.1,590966.0,637927.0,1228893.0,48.09,4.47,23.73,15.15,81.72,99.28,93.21,96.0,71.25,74.3
SULAWESI BARAT,Sulawesi,30.3,8.29,530104.0,506416.0,1036520.0,51.14,9.08,12.1,11.49,80.73,92.91,76.42,79.86,69.8,75.0
MALUKU,Maluku,28.4,30.27,595310.0,642860.0,1238170.0,48.08,5.49,24.64,16.42,78.17,97.92,89.44,92.98,72.75,57.7
MALUKU UTARA,Maluku,23.7,29.56,660687.0,656472.0,1317159.0,50.16,6.23,6.55,6.46,80.64,97.01,85.58,89.01,70.98,61.2
PAPUA BARAT,Papua,24.8,24.0,773831.0,824423.0,1598254.0,48.42,8.23,29.2,20.49,76.3,92.78,73.76,81.57,67.47,57.9
PAPUA,Papua,28.6,35.63,866059.0,643934.0,1509992.0,57.36,5.68,34.49,26.03,43.0,90.71,56.54,66.49,63.01,45.5
